946	β	voiced bilabial fricative	B	\textbeta		Greek and Coptic
952	θ	voiceless dental fricative	T	\texttheta		Greek and Coptic
955	λ			\textlambda	N	Greek and Coptic
967	χ	voiceless uvular fricative	X	\textchi		Greek and Coptic
969	ω			\textomega	N	Greek and Coptic
43877	ꭥ			\textscomega		Latin Extended-E
